 1118526.933243 4.337E-30 9.070E-05.08810.434 1819.33510.77-.014462         -2-2-2          0 1 0  2 -4 -4        3  2  1      132232477291712250    15.0   21.0
 1118669.223879 5.477E-30 2.782E-08.08240.412  224.83840.73-.014531         -2-2-2          0 0 0  4  3  1        4  1  4      132232477291712250    27.0   27.0
 1118814.919490 5.110E-29 1.446E-05.08600.352  927.74390.72-.035460          2 1 3          0 0 0  7  2  5        7  4  4      234223807294713152    15.0   15.0
 1118974.245852 4.400E-30 5.184E-07.06240.333  744.06370.53-.014677         -2-2-2          0 0 0  7  3  5        8  0  8      132232477291712250    15.0   17.0
 1119141.712333 4.541E-30 2.078E-06.06710.352 1216.19450.59-.014757         -2-2-2          0 0 0  6  6  0        7  6  1      132232477291712250    39.0   45.0
 1119336.083156 5.381E-29 1.885E-06.08840.371  648.97870.72-.034920          3 4 1          0 0 0  5  1  5        6  3  4      334223807294713152    33.0   39.0
 1119476.925359 2.048E-27 1.026E-03.09170.315 1282.91910.75-.022090          5 0 1          0 0 0  8  3  5        9  3  6      234223807294713152    51.0   57.0
 1119588.936565 6.135E-28 3.010E-04.09380.333 1050.15770.77-.025280          6 0 0          0 0 0  8  2  6        8  3  5      334253807294713152    17.0   17.0
 1119702.197771 5.800E-27 2.913E-05.10330.096   79.49640.75-.005060          3 4 1          0 0 0  2  1  1        2  1  2      344323802894473152    15.0   15.0
 1119800.712571 1.458E-29 7.247E-04.03680.221 2358.30160.38-.015074         -2-2-2          0 0 0 16 -4 -4       15  0 15      132232477291712250    99.0   93.0
 1119909.997584 7.167E-29 6.697E-07.07700.391  399.45750.64-.015126         -2-2-2          0 0 0  6  1  5        5  1  4      132232477291712250    39.0   33.0
 1120055.200109 1.325E-30 4.542E-08.09410.456  136.16390.78-.015196         -2-2-2          0 0 0  1  0  1        2  2  0      142232627491712250     3.0    5.0
 1120212.966013 3.145E-30 7.071E-07.05810.315  920.21000.45-.015272         -2-2-2          0 0 0 10 -1 -1        9  1  9      142232627491712250    21.0   19.0
 1120351.942686 2.369E-28 8.581E-06.10160.412  315.77950.76-.028710          3 0 3          0 0 0  3  0  3        4  2  2      342230807494713152     7.0    9.0
 1120506.109038 2.739E-30 3.137E-05.04640.265 1774.61630.37-.015412         -2-2-2          0 0 0 13 -1 -1       12  1 11      142232627491712250    27.0   25.0
 1120649.538522 1.822E-28 5.605E-05.05810.315 1201.92150.45-.015481         -2-2-2          0 0 0 10 -4 -4        9  2  7      142232627491712250    63.0   57.0
 1120847.593400 1.453E-29 4.340E-06.06240.333 1122.70850.53-.015576         -2-2-2          0 0 0  7 -4 -4        8  4  5      142232627491712250    45.0   51.0
 1120991.293074 1.390E-30 1.683E-05.05400.298 1724.70540.45-.015645         -2-2-2          0 0 0 10 -1 -1       10  5  5      142232627491712250    21.0   21.0
 1121123.248951 1.927E-30 8.164E-06.04640.265 1557.84440.37-.015709         -2-2-2          0 0 0 13 -1 -1       12  0 12      142232627491712250    27.0   25.0
 1121248.519142 2.192E-30 1.815E-07.05810.315  920.16830.45-.015769         -2-2-2          0 0 0 10  6  4        9  0  9      142232627491712250    63.0   57.0
 1121385.368468 2.492E-27 4.572E-05.07700.391  508.81210.64-.015834         -2-2-2          0 0 0  6  4  3        5  3  2      142232627491712250    39.0   33.0
 1121611.801207 4.494E-29 1.993E-07.08810.434  136.76170.73-.015943         -2-2-2          0 0 0  4  0  4        3  0  3      142232627491712250    27.0   21.0
 1121867.562332 1.258E-30 7.870E-07.06240.333 1255.16680.53-.016066         -2-2-2          0 0 0  7  6  1        8  5  4      142232627491712250    45.0   51.0
 1122043.943065 6.258E-29 4.431E-07.08240.412  224.83840.73-.016150         -2-2-2          0 0 0  4  3  1        4  1  4      142232627491712250    27.0   27.0
 1122220.649547 1.539E-30 3.477E-08.08240.412  275.49700.69-.016235         -2-2-2          0 0 0  5  4  2        4  1  3      142232627491712250    11.0    9.0
 1122378.809621 4.472E-30 6.692E-07.07190.371  661.54890.64-.016311         -2-2-2          0 0 0  5 -1 -1        6  3  3      132232627291712250    11.0   13.0
 1122501.194961 3.054E-30 1.960E-04.03680.221 2358.29960.38-.016370         -2-2-2          0 0 0 16 -4 -4       15  0 15      132232627291712250    99.0   93.0
 1122623.485910 3.702E-30 3.120E-07.07190.371  602.77350.59-.016429         -2-2-2          0 0 0  7 -2 -2        6  2  4      132232627291712250    15.0   13.0
 1122778.827384 4.761E-29 4.233E-06.06240.333  885.60020.49-.016503         -2-2-2          0 0 0  9 -4 -4        8  2  7      142232627491712250    57.0   51.0
 1123075.368292 6.201E-30 4.064E-07.07190.371  542.90580.59-.016646         -2-2-2          0 0 0  7 -1 -1        6  1  5      142232627491712250    15.0   13.0
 1123355.173687 5.180E-29 3.419E-07.09410.456  134.90160.77-.016780         -2-2-2          0 0 0  3  2  2        2  2  1      142232627491712250    21.0   15.0
 1123571.824141 1.386E-30 2.697E-08.07700.391  446.51070.69-.016884         -2-2-2          0 0 0  5  5  0        5  2  3      142232627491712250    33.0   33.0
 1123793.929134 1.175E-30 8.284E-07.05400.298 1293.63410.45-.016990         -2-2-2          0 0 0  9 -4 -4       10  2  9      142232627491712250    57.0   63.0
 1123954.003035 9.100E-28 8.926E-06.08810.434  136.76170.77-.017067         -2-2-2          0 0 0  2  0  2        3  0  3      142232627491712250    15.0   21.0
 1124085.717259 8.292E-29 2.534E-06.08810.434  142.27850.77-.017130         -2-2-2          0 0 0  2  0  2        3  1  3      142232627491712250     5.0    7.0
 1124267.133682 1.057E-28 8.528E-07.08810.434  212.15640.73-.017218         -2-2-2          0 0 0  4  2  2        3  2  1      142232627491712250    27.0   21.0
 1124677.844348 7.633E-30 2.078E-07.06710.352  586.24350.53-.017415         -2-2-2          0 0 0  8 -4 -4        7  0  7      142232627491712250    51.0   45.0
 1124857.943359 1.129E-30 1.325E-07.07190.371  602.77350.64-.017501         -2-2-2          0 0 0  6  1  5        6  2  4      142232627491712250    13.0   13.0
